# ----------------------------------------
# Twitter Swarm NLP
# Location
# 20110501-20111112
# ----------------------------------------

Country/Territory	Visits	Pages/Visit	Avg. Time on Site	% New Visits	Bounce Rate
United States	831	4.72	00:34:03	11.07%	2.29%
Japan	296	4.66	00:24:55	26.35%	0.00%
Germany	288	2.93	00:27:42	12.50%	9.38%
Italy	284	2.94	02:25:56	7.04%	0.70%
Finland	204	3.25	00:10:24	1.96%	0.49%
United Kingdom	200	3.46	00:48:10	4.50%	2.00%
Australia	176	2.88	01:22:23	3.41%	0.57%
Russia	162	3.09	00:32:06	12.96%	3.70%
Thailand	155	8.10	00:27:18	7.74%	0.65%
Spain	147	3.19	00:58:05	8.16%	3.40%
	"3,678"	4.13	00:40:27	11.56%	2.88%

