# ----------------------------------------
# Facebook Swarm NLP
# Location
# 20110501-20111112
# ----------------------------------------

Country/Territory	Visits	Pages/Visit	Avg. Time on Site	% New Visits	Bounce Rate
Germany	"2,280"	7.32	00:21:09	5.26%	1.23%
Thailand	"2,133"	10.13	00:27:37	1.50%	0.09%
Mexico	"1,586"	7.07	00:20:57	2.14%	0.32%
Czech Republic	"1,416"	6.93	00:46:50	2.40%	0.00%
United Kingdom	"1,100"	11.85	00:32:22	5.91%	0.36%
India	"1,047"	22.24	00:29:08	13.28%	0.00%
Australia	854	3.58	00:18:41	2.58%	0.12%
Indonesia	826	12.91	00:34:43	5.33%	0.12%
Italy	805	6.30	00:17:15	3.35%	0.25%
United States	742	8.23	00:22:34	15.90%	2.70%
	"25,747"	9.75	00:29:34	5.80%	0.48%

