Event Action	Total Events	Unique Events	Event Value	Avg. Value
http://dbpedia.org/resource/Afghanistan	50	26	"1,839,512,252,271,992,832"	"36,790,245,045,439,856.00"
http://dbpedia.org/resource/Catalonia	50	27	"1,938,244,366,068,482,048"	"38,764,887,321,369,640.00"
http://dbpedia.org/resource/Dominique_Strauss-Kahn	50	21	"598,307,400,340,799,488"	"11,966,148,006,815,990.00"
http://dbpedia.org/resource/Marketing	50	34	"2,062,135,556,462,481,408"	"41,242,711,129,249,632.00"
http://dbpedia.org/resource/Application_programming_interface	48	39	"2,098,704,968,208,363,520"	"43,723,020,171,007,576.00"
http://dbpedia.org/resource/China	48	33	"2,321,941,814,122,946,560"	"48,373,787,794,228,056.00"
http://dbpedia.org/resource/Eunhyuk	47	6	"6,046,683,654,554,697,728"	"128,652,843,713,929,744.00"
http://dbpedia.org/resource/Social_network	47	32	"1,578,478,919,548,219,392"	"33,584,657,862,728,072.00"
http://dbpedia.org/resource/Agence_France-Presse	45	32	"1,287,147,229,070,176,256"	"28,603,271,757,115,028.00"
http://dbpedia.org/resource/A.S._Roma	44	27	"791,493,381,276,614,656"	"17,988,485,938,104,878.00"
http://dbpedia.org/resource/England	43	27	"2,747,300,887,334,690,816"	"63,890,718,310,109,088.00"
http://dbpedia.org/resource/LinkedIn	43	38	"965,418,815,461,732,352"	"22,451,600,359,575,172.00"
http://dbpedia.org/resource/Steve_Jobs	43	32	"1,967,202,031,645,237,248"	"45,748,884,456,865,984.00"
http://dbpedia.org/resource/ITunes	42	27	"1,280,520,552,256,753,664"	"30,488,584,577,541,752.00"
http://dbpedia.org/resource/Small_business	42	21	"1,622,153,975,889,391,616"	"38,622,713,711,652,184.00"
http://dbpedia.org/resource/App_Store	41	30	"1,492,417,726,128,197,632"	"36,400,432,344,590,184.00"
http://dbpedia.org/resource/Oslo	41	17	"3,635,285,913,758,621,696"	"88,665,510,091,673,696.00"
http://dbpedia.org/resource/HTML	40	21	"1,365,986,958,389,002,240"	"34,149,673,959,725,056.00"
http://dbpedia.org/resource/Ryan_Giggs	40	4	"85,899,345,880"	"2,147,483,647.00"
http://dbpedia.org/resource/Greece	39	16	"3,765,593,804,082,360,320"	"96,553,687,284,163,088.00"
http://dbpedia.org/resource/Lorca	39	6	"83,751,862,233"	"2,147,483,647.00"
http://dbpedia.org/resource/New_York,_Lincolnshire"	39	29	"3,122,363,612,660,199,424"	"80,060,605,452,825,632.00"
http://dbpedia.org/resource/Osama_bin_Laden	39	24	"527,510,088,366,850,048"	"13,525,899,701,714,104.00"
http://dbpedia.org/resource/AddThis	37	30	"2,379,348,187,927,957,504"	"64,306,707,781,836,688.00"
http://dbpedia.org/resource/Convergence_and_Union	37	17	"1,541,158,271,579,217,920"	"41,652,926,258,897,784.00"
http://dbpedia.org/resource/DVD	37	30	"981,832,570,932,232,192"	"26,536,015,430,600,872.00"
http://dbpedia.org/resource/Israel	37	29	"2,159,711,994,874,703,872"	"58,370,594,456,073,080.00"
http://dbpedia.org/resource/Uniform_Resource_Locator	37	24	"1,170,143,076,087,726,080"	"31,625,488,542,911,516.00"
http://dbpedia.org/resource/Deathmatch_(gaming)	36	3	"4,652,481,069,231,919,104"	"129,235,585,256,442,192.00"
http://dbpedia.org/resource/Glenn_Beck	36	6	"3,374,252,224,775,086,080"	"93,729,228,465,974,608.00"
http://dbpedia.org/resource/News_of_the_World	36	16	"766,226,076,271,714,304"	"21,284,057,674,214,288.00"
http://dbpedia.org/resource/Search_engine_marketing	36	22	"2,235,209,536,332,484,608"	"62,089,153,787,013,464.00"
http://dbpedia.org/resource/Windows_Phone_7	36	27	"1,414,350,837,930,082,304"	"39,287,523,275,835,616.00"
http://dbpedia.org/resource/Berlin	35	30	"1,566,285,971,683,250,176"	"44,751,027,762,378,576.00"
http://dbpedia.org/resource/Manchester	35	23	"1,075,278,513,232,666,624"	"30,722,243,235,219,048.00"
http://dbpedia.org/resource/Muammar_al-Gaddafi	35	14	"2,772,790,914,537,975,808"	"79,222,597,558,227,888.00"
http://dbpedia.org/resource/Stoke_City_F.C.	35	3	"4,459,702,735,876,898,816"	"127,420,078,167,911,392.00"
http://dbpedia.org/resource/Web_search_engine	35	27	"1,421,265,198,900,830,208"	"40,607,577,111,452,288.00"
http://dbpedia.org/resource/Associated_Press	34	28	"919,659,603,221,889,024"	"27,048,811,859,467,324.00"
http://dbpedia.org/resource/NATO	34	30	"843,897,882,566,262,784"	"24,820,525,957,831,260.00"
http://dbpedia.org/resource/Saudi_Arabia	34	26	"262,734,111,054,249,952"	"7,727,473,854,536,763.00"
http://dbpedia.org/resource/TechCrunch	34	25	"732,064,260,289,376,256"	"21,531,301,773,216,948.00"
http://dbpedia.org/resource/The_Guardian	34	26	"807,284,484,869,152,768"	"23,743,661,319,680,964.00"
http://dbpedia.org/resource/European_Union	33	24	"2,634,287,534,744,436,736"	"79,826,894,992,255,664.00"
http://dbpedia.org/resource/Jamaica	33	3	"3,192,776,546,377,211,904"	"96,750,804,435,673,088.00"
http://dbpedia.org/resource/Meryl_Streep	33	1	"70,866,960,351"	"2,147,483,647.00"
http://dbpedia.org/resource/Pakistan	33	26	"958,916,266,868,944,896"	"29,058,068,692,998,332.00"
http://dbpedia.org/resource/Initial_public_offering	32	26	"817,982,954,026,229,760"	"25,561,967,313,319,680.00"
http://dbpedia.org/resource/Manchester_United_F.C.	32	18	"2,015,443,822,441,648,128"	"62,982,619,451,301,504.00"
http://dbpedia.org/resource/Mariano_Rajoy	32	18	"2,605,899,299,602,116,608"	"81,434,353,112,566,144.00"
http://dbpedia.org/resource/Resource_Description_Framework	32	26	"1,554,592,348,382,253,056"	"48,581,010,886,945,408.00"
http://dbpedia.org/resource/Darren_Clarke	31	3	"96,337,555,464,785,888"	"3,107,663,079,509,222.00"
http://dbpedia.org/resource/Japan_Standard_Time	31	9	"287,544,040,537,599,968"	"9,275,614,210,890,322.00"
http://dbpedia.org/resource/Tottenham_Court_Road	31	2	"66,571,993,057"	"2,147,483,647.00"
http://dbpedia.org/resource/Cannes	30	10	"131,731,559,643,488,224"	"4,391,051,988,116,274.00"
http://dbpedia.org/resource/Carlo_Ancelotti	30	4	"64,424,509,410"	"2,147,483,647.00"
http://dbpedia.org/resource/Future	30	28	"1,742,195,962,583,031,808"	"58,073,198,752,767,728.00"
http://dbpedia.org/resource/God	30	27	"1,996,286,079,654,961,152"	"66,542,869,321,832,040.00"
http://dbpedia.org/resource/Kyuhyun	30	8	"3,858,896,613,179,158,528"	"128,629,887,105,971,952.00"
http://dbpedia.org/resource/Muhammad_Ali	30	4	"3,610,853,986,614,685,696"	"120,361,799,553,822,864.00"
http://dbpedia.org/resource/PageRank	30	19	"1,196,719,684,160,249,856"	"39,890,656,138,674,992.00"
http://dbpedia.org/resource/Africa	29	22	"1,352,521,844,717,752,320"	"46,638,684,300,612,152.00"
http://dbpedia.org/resource/Al_Jazeera	29	17	"1,618,387,227,415,519,232"	"55,806,456,117,776,528.00"
http://dbpedia.org/resource/FC_Barcelona	29	18	"998,600,692,880,207,872"	"34,434,506,651,041,652.00"
http://dbpedia.org/resource/Germany	29	23	"1,219,426,940,823,638,016"	"42,049,204,855,987,520.00"
http://dbpedia.org/resource/Orlando_Bloom	29	2	"62,277,025,763"	"2,147,483,647.00"
http://dbpedia.org/resource/Paris	29	26	"854,658,839,399,706,624"	"29,470,994,462,058,848.00"
http://dbpedia.org/resource/Sales	29	17	"970,768,508,140,052,480"	"33,474,776,142,760,432.00"
http://dbpedia.org/resource/Semantic_Web	29	17	"1,845,539,209,077,596,160"	"63,639,283,071,641,248.00"
http://dbpedia.org/resource/Al-Qaeda	28	25	"606,308,405,493,911,552"	"21,653,871,624,782,556.00"
http://dbpedia.org/resource/Cameron_Diaz	28	1	"60,129,542,116"	"2,147,483,647.00"
http://dbpedia.org/resource/Canada	28	22	"827,130,299,728,973,824"	"29,540,367,847,463,352.00"
http://dbpedia.org/resource/Chicago	28	23	"860,733,615,855,714,304"	"30,740,486,280,561,224.00"
http://dbpedia.org/resource/France	28	24	"1,436,948,020,281,839,616"	"51,319,572,152,922,840.00"
http://dbpedia.org/resource/Golf	28	20	"411,544,985,813,925,888"	"14,698,035,207,640,210.00"
http://dbpedia.org/resource/Liverpool	28	17	"1,741,173,255,624,065,024"	"62,184,759,129,430,896.00"
http://dbpedia.org/resource/LOL	28	22	"2,342,017,088,373,846,016"	"83,643,467,441,923,072.00"
http://dbpedia.org/resource/Republican_Party_(United_States)	28	22	"860,562,625,292,976,128"	"30,734,379,474,749,148.00"
http://dbpedia.org/resource/Sony	28	25	"813,703,300,616,462,336"	"29,060,832,164,873,656.00"
http://dbpedia.org/resource/Amazon.com	27	23	"412,728,062,917,521,408"	"15,286,224,552,500,792.00"
http://dbpedia.org/resource/Amy_Winehouse	27	17	"2,061,763,141,497,040,896"	"76,361,597,833,223,744.00"
http://dbpedia.org/resource/Cascading_Style_Sheets	27	25	"1,111,114,644,943,364,096"	"41,152,394,257,161,632.00"
http://dbpedia.org/resource/Hewlett-Packard	27	23	"1,746,060,408,967,499,776"	"64,668,904,035,833,328.00"
http://dbpedia.org/resource/Montana	27	5	"233,622,220,319,252,480"	"8,652,674,826,638,981.00"
http://dbpedia.org/resource/RDFa	27	22	"702,183,212,046,905,344"	"26,006,785,631,366,864.00"
http://dbpedia.org/resource/Search_engine_results_page	27	23	"1,103,092,773,421,387,776"	"40,855,287,904,495,840.00"
http://dbpedia.org/resource/Tottenham_Hotspur_F.C.	27	21	"1,378,121,464,915,132,416"	"51,041,535,737,597,496.00"
http://dbpedia.org/resource/California	26	22	"729,311,476,892,725,248"	"28,050,441,418,950,972.00"
http://dbpedia.org/resource/Chief_financial_officer	26	20	"1,386,365,876,614,950,912"	"53,321,764,485,190,416.00"
http://dbpedia.org/resource/Design	26	23	"754,914,068,532,215,808"	"29,035,156,482,008,300.00"
http://dbpedia.org/resource/New_York_City	26	21	"1,295,299,579,852,824,576"	"49,819,214,609,724,024.00"
http://dbpedia.org/resource/Premier_League	26	15	"2,071,974,687,548,149,760"	"79,691,334,136,467,296.00"
http://dbpedia.org/resource/Video	26	23	"2,858,142,749,632,270,336"	"109,928,567,293,548,864.00"
http://dbpedia.org/resource/Wi-Fi	26	21	"1,032,541,999,205,666,816"	"39,713,153,815,602,568.00"
http://dbpedia.org/resource/Yahoo!	26	19	"627,807,029,469,982,720"	"24,146,424,210,383,952.00"
http://dbpedia.org/resource/Yemen	26	20	"266,896,409,616,465,888"	"10,265,246,523,710,226.00"
