# ----------------------------------------
# Facebook Swarm NLP
# Pages
# 20110301-20111108
# ----------------------------------------

Page	Pageviews	Unique Pageviews	Avg. Time on Page	Bounce Rate	% Exit
/users/100001485852795	301	143	00:01:51	0.00%	4.98%
/users/100002576366887	301	221	00:10:27	0.00%	30.90%
/users/100002320855362	297	122	00:01:18	0.00%	3.03%
/users/melmoh	293	220	00:05:20	0.00%	8.53%
/users/stefano.dibenedetto2	291	250	00:08:23	0.00%	41.92%
/users/rockEMOroll	289	183	00:02:36	0.00%	3.11%
/users/codigorap	286	242	00:04:25	0.00%	23.08%
/users/100002525535421	286	258	00:11:50	0.00%	23.08%
/users/i.am.ploysine	281	164	00:05:14	0.00%	12.81%
/users/100001572916681	273	271	00:00:40	0.00%	0.00%
/users/widyant	272	239	00:24:41	0.00%	28.31%
/users/100001014343391	269	200	00:08:21	0.00%	23.79%
/users/fahmi.adi29	268	209	00:06:04	0.00%	13.43%
/users/Vishtany	267	191	00:07:24	0.00%	11.61%
/users/100001249785800	261	230	00:03:37	0.00%	52.49%
/users/njuras	249	208	00:07:55	0.00%	36.55%
/users/benyamin.yekani	248	110	00:04:16	0.00%	9.68%
/users/vivkoooooo	248	123	00:03:47	0.00%	1.61%
/users/100002842932800	244	233	00:00:33	0.00%	0.41%
/users/100000179839486	243	138	00:07:05	0.00%	4.53%
/users/100001575864788	241	175	00:05:01	0.00%	31.54%
/users/100002826101060	240	226	00:00:45	0.00%	1.25%
/users/cmcariaga	239	178	00:07:36	0.00%	17.57%
/users/100001613341040	237	231	00:01:34	0.00%	1.69%
/users/100000175830933	236	206	00:09:33	0.00%	27.97%
/users/100002895541860	234	192	00:02:34	0.00%	5.13%
/users/Chenchennewlove	233	190	00:02:06	0.00%	9.44%
/users/rockEMOroll	229	161	00:01:56	0.00%	2.62%
/users/100000233327351	228	156	00:05:12	0.00%	5.70%
/users/100001213637658	226	145	00:05:34	0.00%	26.11%
/users/100002879322982	225	210	00:00:40	0.00%	1.33%
/users/100002850491054	224	215	00:00:43	0.00%	0.89%
/users/zena.karasuk	224	153	00:31:18	50.00%	39.29%
/users/100000660692757	223	156	00:07:30	0.00%	8.07%
/users/1106760190	222	179	00:06:04	0.00%	12.16%
/users/lucas.verhoustraeten	221	153	00:11:45	0.00%	37.56%
/users/100001033032392	216	164	00:06:20	0.00%	42.59%
/users/100002188629868	215	159	00:07:24	0.00%	34.88%
/users/100000508827043	213	125	00:02:02	0.00%	1.41%
/users/keisi	212	156	00:04:44	0.00%	30.66%
/users/1378491920	210	101	00:04:25	0.00%	7.14%
/users/1357449205	208	169	00:02:39	0.00%	4.81%
/users/Midusci	196	149	00:17:29	0.00%	56.12%
/users/semira.malki	196	42	00:06:40	0.00%	7.14%
/users/mietta.barling	195	124	00:13:33	0.00%	22.05%
/users/omed.alright	195	163	00:40:01	0.00%	63.08%
/users/barhamfarid	193	158	00:03:12	0.00%	3.11%
/users/dirty.street	192	125	00:03:26	0.00%	7.81%
/users/100000656965999	192	170	00:15:25	11.11%	59.38%
/users/100001718040614	190	140	00:03:50	0.00%	12.63%
/users/gaxiolaguillen	189	163	00:12:04	0.00%	30.69%
/users/100001227574117	189	166	00:02:54	0.00%	29.63%
/users/100000196939110	183	139	00:06:03	0.00%	24.59%
/users/100000693893756	183	159	00:10:36	0.00%	56.83%
/users/siddhu111	182	130	00:02:14	0.00%	17.58%
/users/100002205737242	180	173	00:21:28	0.00%	63.89%
/users/100000681996135	179	89	00:06:58	0.00%	7.26%
/users/1486825956	174	159	00:12:03	0.00%	48.28%
/users/charishmaesidlao	171	101	00:05:43	0.00%	5.85%
/users/100001014343391	171	111	00:09:27	0.00%	17.54%
/users/stansult	170	120	00:04:59	0.00%	21.18%
/users/100002292041308	169	142	00:06:34	0.00%	43.79%
/users/gemmadai	167	35	00:01:53	0.00%	1.80%
/users/100000898878299	165	133	00:07:56	0.00%	22.42%
/users/647076523	164	123	00:01:57	0.00%	16.46%
/users/NineTunaj	162	114	00:08:47	0.00%	17.90%
/users/100000213615544	161	128	00:05:57	0.00%	24.84%
/users/allybdAknerd	159	144	00:03:21	0.00%	9.43%
/users/fowzi11?ref=tn_nonslim	159	65	00:07:59	0.00%	16.98%
/users/melmoh	159	107	00:07:14	0.00%	10.69%
/users/100000237581529	159	123	00:03:43	0.00%	19.50%
/users/edwinluis.mos	156	124	00:13:46	0.00%	28.21%
/users/kpoaps	156	110	00:04:40	0.00%	9.62%
/users/muuna.chinna	156	144	00:02:54	0.00%	9.62%
/users/675586605	156	119	00:10:25	0.00%	42.31%
/users/rozak.rondokcemen	156	131	00:04:39	0.00%	25.64%
/users/stepan.kuzmin	156	126	00:14:16	0.00%	54.49%
/users/naimazzeli.kamikaz	149	129	00:04:17	0.00%	3.36%
/users/100000788220444	148	118	00:04:40	0.00%	25.68%
/users/gurcan1964	146	100	00:04:45	0.00%	33.56%
/users/mike.murillo2	145	130	00:09:10	0.00%	14.48%
/users/aiLabKrishian	143	120	00:02:45	0.00%	8.39%
/users/100000681275981	141	93	00:05:14	0.00%	14.89%
/users/100002275495403	141	70	00:05:09	0.00%	14.89%
/users/100002353636257	140	117	00:02:00	0.00%	10.71%
/users/100000306496426	139	121	00:08:48	0.00%	15.83%
/users/justaminoo	136	65	00:02:58	0.00%	4.41%
